# wavelength  elem  eqw 
 4000.016   FeI    81.107 
 4000.270   FeI   121.438 
 4000.450  DyII    88.747 
 4000.460   FeI   135.031 
 4000.500  NdII    53.484 
 4001.106   FeI    57.339 
 4001.176   FeI    37.830 
 4001.190   MnI    67.029 
 4001.440   CrI    92.374 
 4001.659    VI    50.522 
 4001.660   FeI   170.117 
 4002.071  FeII    48.297 
 4002.470   TiI    77.279 
 4002.653   FeI    80.931 
 4002.940   VII   100.008 
 4003.760   FeI   126.709 
 4003.767  CeII    56.000 
 4003.790   TiI   116.983 
 4004.005  NdII    64.123 
 4004.819   FeI   107.966 
 4004.900   FeI   132.922 
 4004.974   FeI   104.985 
 4004.977   FeI    47.152 
 4005.072   FeI   112.864 
 4005.127   NiI    63.249 
 4005.250   FeI  1116.719 
 4005.387   FeI   123.546 
 4005.467  TbII    67.763 
 4005.477   FeI   107.482 
 4005.633  CeII    45.953 
 4005.710   VII   117.659 
 4005.979   TiI    65.058 
 4006.148   FeI    87.461 
 4006.310   FeI   160.412 
 4006.621   FeI   121.373 
 4006.713   FeI    63.553 
 4006.758   FeI   123.895 
 4007.204   TiI    47.584 
 4007.248   CoI    33.305 
 4007.270   FeI   171.534 
 4007.430  NdII    51.060 
 4008.056   TiI    90.424 
 4008.170   VII    47.185 
 4008.469   NiI    34.525 
 4008.691  PrII    46.448 
 4008.749    WI    47.075 
 4008.860   FeI   101.278 
 4008.900   MnI    30.431 
 4008.930   TiI   180.440 
 4009.140   FeI   104.360 
 4009.533   FeI    86.526 
 4009.650   TiI   140.337 
 4009.652    VI    31.661 
 4009.710   FeI   263.046 
 4009.975   NiI    34.751 
 4010.180   FeI    74.552 
 4010.333   NiI    71.033 
 4010.563   MnI    90.466 
 4010.590   FeI   103.976 
 4010.739   CaI    44.148 
 4010.770   FeI    98.048 
 4010.930   FeI    94.189 
 4010.954   NiI    49.820 
 4011.074   CoI    56.335 
 4011.303    VI    59.563 
 4011.420   FeI   109.029 
 4011.450   MnI    62.830 
 4011.528   TiI    31.125 
 4011.710   FeI   103.198 
 4012.145   FeI    68.659 
 4012.250  NdII    97.001 
 4012.390  TiII   172.769 
 4012.390  CeII    77.358 
 4012.490   CrI    64.290 
 4012.697  NdII    65.009 
 4012.821   TiI    31.761 
 4013.245   TiI    67.603 
 4013.260   FeI    58.541 
 4013.562   FeI    82.158 
 4013.590   TiI    90.647 
 4013.627   FeI   115.383 
 4013.814   FeI   154.815 
 4013.943   CoI    84.132 
 4014.267   FeI    96.008 
 4014.490  ScII   115.470 
 4014.530   FeI   191.623 
 4014.887    VI    35.377 
 4014.897  CeII    61.699 
 4014.900  CeII    67.136 
 4015.380   TiI    81.050 
 4016.281   TiI    62.741 
 4016.323   FeI    41.463 
 4016.410   FeI   116.484 
 4016.540   FeI    33.472 
 4016.794   CoI    37.150 
 4016.960   TiI    56.884 
 4017.084   FeI    55.481 
 4017.150   FeI   197.237 
 4017.441   NiI    73.571 
 4017.459   FeI   100.845 
 4017.540   FeI    96.685 
 4017.770   TiI    95.395 
 4018.100   MnI   175.665 
 4018.280   FeI   135.499 
 4018.380  ZrII    56.739 
 4019.050   FeI   104.727 
 4019.058   NiI    71.452 
 4019.126   CoI    77.399 
 4019.289   CoI    87.235 
 4019.299   CoI    52.996 
 4020.050   FeI    80.640 
 4020.251   NiI    59.245 
 4020.280   FeI   105.203 
 4020.400   ScI   138.228 
 4020.490   FeI    83.482 
 4020.870  NdII    40.676 
 4020.900   CoI   157.132 
 4021.340  NdII    76.889 
 4021.606   FeI    91.515 
 4021.629   FeI    91.791 
 4021.728  NdII    75.818 
 4021.810   TiI    86.381 
 4021.870   FeI   186.382 
 4022.038   NiI    54.465 
 4022.204   FeI    56.369 
 4022.240   FeI    76.653 
 4022.263   CrI    57.642 
 4022.441   FeI    65.413 
 4022.461   CoI    40.442 
 4022.729   FeI    94.043 
 4022.744   FeI    95.824 
 4022.976  NdII    79.278 
 4023.222  SmII    32.318 
 4023.390   VII   109.169 
 4023.400   CoI    82.977 
 4023.690   ScI   151.948 
 4023.992   NiI    72.241 
 4024.110   FeI   114.900 
 4024.440  ZrII    67.582 
 4024.485  CeII    60.703 
 4024.550  FeII    33.042 
 4024.570   TiI   183.288 
 4024.720   FeI   132.938 
 4024.764   TiI    60.192 
 4024.780  NdII    94.564 
 4024.909   ZrI    44.098 
 4024.999   CrI   112.240 
 4025.067   TiI    42.867 
 4025.139  CeII    31.538 
 4025.140  TiII   151.589 
 4025.419   NiI    59.939 
 4025.447   CrI    96.063 
 4025.786   NiI    71.511 
 4025.830   FeI   100.998 
 4026.169   CrI    92.746 
 4026.262   MgI    34.183 
 4026.389   CrI    49.851 
 4026.440   MnI    97.874 
 4026.540   TiI    98.926 
 4026.912   FeI    95.146 
 4027.025   CoI   108.431 
 4027.093   CrI    98.468 
 4027.209   ZrI    51.368 
 4027.400   FeI    82.401 
 4027.667   NiI    78.083 
